;----------------------------------------------------
;Dump of Oscilloscope gather for X Axis
;Kp == 0.000000
;Ki == 0.000000
;Kd == 0.000000
;iL == 2560000.000000
;Kg == 0.000000
;Kv1 == 0.000000
;Ka == 0.000000
;accel_time == 0.500000
;samples_per_second == 200.000000
;----------------------------------------------------

Sample Seconds VExp VAbs ErrAbs ErrSum
377 1.885000 -18.295467 -19.000000 -6.000000 0.000000 
378 1.890000 -18.295467 -19.000000 -7.000000 0.000000 
379 1.895000 -18.295467 -18.000000 -7.000000 0.000000 
380 1.900000 -18.295467 -17.000000 -7.000000 0.000000 
381 1.905000 -18.295467 -20.000000 -7.000000 0.000000 
382 1.910000 -18.295467 -18.000000 -9.000000 0.000000 
383 1.915000 -18.295467 -18.000000 -8.000000 0.000000 
384 1.920000 -18.295467 -19.000000 -7.000000 0.000000 
385 1.925000 -18.295467 -19.000000 -7.000000 0.000000 
386 1.930000 -18.295467 -17.000000 -9.000000 0.000000 
387 1.935000 -18.295467 -17.000000 -8.000000 0.000000 
388 1.940000 -18.295467 -19.000000 -6.000000 0.000000 
389 1.945000 -18.295467 -18.000000 -8.000000 0.000000 
390 1.950000 -18.295467 -17.000000 -8.000000 0.000000 
391 1.955000 -18.295467 -18.000000 -7.000000 0.000000 
392 1.960000 -18.295467 -20.000000 -7.000000 0.000000 
393 1.965000 -18.295467 -18.000000 -8.000000 0.000000 
394 1.970000 -18.295467 -17.000000 -7.000000 0.000000 
395 1.975000 -18.295467 -19.000000 -6.000000 0.000000 
396 1.980000 -18.295467 -20.000000 -6.000000 0.000000 
397 1.985000 -18.295467 -17.000000 -7.000000 0.000000 
398 1.990000 -18.295467 -18.000000 -6.000000 0.000000 
399 1.995000 -18.295467 -20.000000 -6.000000 0.000000 
400 2.000000 -18.295467 -18.000000 -7.000000 0.000000 
401 2.005000 -18.295467 -17.000000 -7.000000 0.000000 
402 2.010000 -18.295467 -20.000000 -6.000000 0.000000 
403 2.015000 -18.295467 -18.000000 -8.000000 0.000000 
404 2.020000 -18.295467 -18.000000 -8.000000 0.000000 
405 2.025000 -18.295467 -18.000000 -7.000000 0.000000 
406 2.030000 -18.295467 -19.000000 -7.000000 0.000000 
407 2.035000 -18.295467 -19.000000 -7.000000 0.000000 
408 2.040000 -18.295467 -17.000000 -8.000000 0.000000 
409 2.045000 -18.295467 -19.000000 -7.000000 0.000000 
410 2.050000 -18.295467 -20.000000 -7.000000 0.000000 
411 2.055000 -18.295467 -17.000000 -8.000000 0.000000 
